Country,Admin1,Event month,Sub-Event Type,Events
Lebanon,Baalbek-Hermel,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-06-01,Air/drone strike,4
Lebanon,Bekaa,2024-06-01,Armed clash,0
Lebanon,Bekaa,2024-06-01,Attack,0
Lebanon,Bekaa,2024-06-01,Shelling/artillery/missile attack,1
Lebanon,Bekaa,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-06-01,Air/drone strike,0
Lebanon,North,2024-06-01,Armed clash,0
Lebanon,North,2024-06-01,Attack,0
Lebanon,North,2024-06-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-06-01,Air/drone strike,0
Lebanon,Beirut,2024-06-01,Armed clash,0
Lebanon,Beirut,2024-06-01,Attack,0
Lebanon,Beirut,2024-06-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-06-01,Air/drone strike,0
Lebanon,Akkar,2024-06-01,Armed clash,0
Lebanon,Akkar,2024-06-01,Attack,0
Lebanon,Akkar,2024-06-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-07-01,Air/drone strike,207
Lebanon,Al Nabatieh,2024-07-01,Armed clash,0
Lebanon,Al Nabatieh,2024-07-01,Attack,1
Lebanon,Al Nabatieh,2024-07-01,Shelling/artillery/missile attack,306
Lebanon,Al Nabatieh,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-07-01,Air/drone strike,74
Lebanon,South,2024-07-01,Armed clash,0
Lebanon,South,2024-07-01,Attack,0
Lebanon,South,2024-07-01,Shelling/artillery/missile attack,92
Lebanon,South,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-07-01,Air/drone strike,1
Lebanon,Mount Lebanon,2024-07-01,Armed clash,0
Lebanon,Mount Lebanon,2024-07-01,Attack,0
Lebanon,Mount Lebanon,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-07-01,Air/drone strike,3
Lebanon,Baalbek-Hermel,2024-07-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-07-01,Attack,0
Lebanon,Baalbek-Hermel,2024-07-01,Shelling/artillery/missile attack,0
